,Time,User,Tweet
0,2022-09-27 06:35:55+00:00,deras_bgt,mfy https://t.co/DoEJMa5H25
1,2022-09-27 06:35:32+00:00,ra1kana1ka,"3のフェスどこかのタイミングで
シオカラ派
テンタクルズ派
すりみ派

とかやるかな？ラストフェスあたりで"
2,2022-09-27 06:34:31+00:00,Navy_series,RT @jefflink0113: WIP🤔 https://t.co/xacswLlduN
3,2022-09-27 06:34:17+00:00,Aoiro_Banana,"RT @futat25: C100新刊サンプルです！
メロンブックス様に委託しております！ 
よろしくお願いします！🙏😌
https://t.co/NydVNsdgjs https://t.co/cLJrsrWG41"
4,2022-09-27 06:34:17+00:00,DoumanAsh,Obviously should be reverse 🥲 https://t.co/Rc468gmUtc
5,2022-09-27 06:34:16+00:00,Miga2580,えぇええぇ・・・マジでか・・・
6,2022-09-27 06:33:54+00:00,Aoiro_Banana,"めっちゃブルアカのヒビキ流れてくんじゃん
流行りすぎやろ"
7,2022-09-27 06:33:42+00:00,hisatyu,【静画】上から目線 https://t.co/ZgIOq9VdQJ を投稿しました。 #im11041235
8,2022-09-27 06:33:36+00:00,lawzanid,ตกท้างวัน
9,2022-09-27 06:33:36+00:00,inu_33,ねぶた祭みたいなDOMANが入場してくるかも…
10,2022-09-27 06:33:29+00:00,Miga2580,RT @anonymous_post2: パヨクの皆さん、国葬会場外で安倍元首相を的にした射的大会開催　＝ネットの反応「こんなことしてるから、ますます普通の人が『アベガー』を忌避する」「ま、結局国葬反対派ってこんな人達って事だよね」 https://t.co/tJRxHMtvXO
11,2022-09-27 06:33:05+00:00,consome2021,"RT @circle_poison2: お待たせしました！
製作中のゲーム""その後、勇者の姿を見た者はいない""
最新の体験版Ver0.90と共に予告を開始しました。
お気に召しましたら『お気に入り登録』して頂けると嬉しいです。

https://t.co/FJOP1hlAEG…"
12,2022-09-27 06:32:39+00:00,shugabito,RT @Cufi1124: セクレトルーさん https://t.co/hjKtdmHhoK
13,2022-09-27 06:32:39+00:00,Aoiro_Banana,ノーパンえっちですき
14,2022-09-27 06:32:38+00:00,eiryla,RT @zaikoning_san: ヒカセンに荷物送る時によく使うやつ https://t.co/bA7neZTY0r
15,2022-09-27 06:32:37+00:00,pepsitou,"RT @subaru_chen: これはアウト。
物理的にありえない水の動き、現実的ではない家の配置、画質と画像サイズ。AIが作成した写真です。
熊本地震の際にライオンが逃げたとフェイクニュースを流した人と同様で、災害時に不安を煽るデマを流している。通報しました。
なお、ライオ…"
16,2022-09-27 06:32:31+00:00,Aoiro_Banana,RT @Kiminogeboku_: 🐼 https://t.co/es656UfRte
17,2022-09-27 06:32:24+00:00,Aoiro_Banana,RT @SGTSize: こういうの増えてほしいねって https://t.co/aiD4C0mhEH
18,2022-09-27 06:31:53+00:00,Miga2580,"RT @imotokatsuyuki: 今日のネーム。
メイちゃん決勝戦頑張れ https://t.co/wuwkoOqOVH"
19,2022-09-27 06:31:49+00:00,pepsitou,RT @kurorabukyouzyu: 発射台冷却システムをためしに動かしたところだってーほええーすげー https://t.co/td6JJ5v52H
